ID,Sentence,Analyzed,Gloss,Translation,Text_ID,Sentence_Number,Phrase_Number
41,gue:ʴtɑ kə ʁzaʁɑ zəm ɦɑtshuəȵi,gue:ʴ-tɑ kə ʁza-ʁɑ zəm ɦɑ-tshuə-ȵi,road-LOC go time-LOC song DIR-sing-ADVZ,The whole way they sang,2,5,2
42,zəm tuχsuȵi luji,zəm tu-χsu-ȵi lu-ji,song DIR-jump/dance-LNK come-CSM,and danced as they walked.,2,5,3
43,thizziŋuəȵi qe:ʴtɑ ɑpə mupithɑ thizzi oqpi pəʐ moʁuχuɑȵi,,,"Because the god Mupitha had opposed them becoming one family before,",2,6,1
44,hɑlȵi mutulɑ tələȵi tsei,,,"they deliberately looked back at heaven,",2,6,2
45,thəpɑktɑ,,,and the result was that,2,6,3
46,ȵilesteke ɑstuχɑn phuxʂu doquʐək tɕetɕilɑ dufuwei,,,"they frightened the thousand kinds of birds and beasts following them, causing them to flee everywhere.",2,6,4
47,ɦɑtsəiȵi,,,In this way,2,6,5
48,pitɕ phuʁɑ ʐim phuxʂu pewei,,,these animals became the wild animals now dwelling in the forests.,2,6,6
49,themle zəpəqtɑ ipəlȵike,,,"After Mutsitʂu and Tugantʂu arrived on the earth,",2,7,1
50,etʂequɑ detsheȵi luzulɑhɑ ʁopu tiwistɑ deseku,,,they misremembered (what Mupitha had told them to do) and sowed the China fir seeds on high mountains,2,7,2
51,tshəmɑ wetɕ səɸzulɑhɑŋuəȵi ʁopu ɦegistɑ deseku,,,and the thorny bushes on low mountains.,2,7,3
52,ɦɑtsəi ŋuəχuɑȵi,,,"As a result,",2,7,4
53,ɦegistɑŋuəȵi tshəmɑ təʂjy ŋuə,,,the low areas grew full of brambles and thorns.,2,7,5
54,thizzi zɑʁɑ bəldʐəwaχuɑȵi,thizzi zɑ-ʁɑ bəl-dʐə-wa-χuɑ-ȵi,3DU earth-LOC do-able-very-because-ADVZ,"(However,) because they were very able,",2,8,1
55,lu texȵi tɕiʁuɑ təɬi,lu te-x-ȵi tɕiʁuɑ tə-ɬi,China.fir DIR-cut-ADVZ house DIR-build,"they cut down the China firs and built houses,",2,8,2
56,tshəmɑ ɦaxteȵi zə təʐge,tshəmɑ ɦa-xte-ȵi zə tə-ʐge,thorn DIR-cut.down-ADVZ land DIR-open,"and they hacked through the brambles and thorns, opening up wilderness land,",2,8,3
57,ʐmə tɕhetɕ ʐguə iɸiji,ʐmə tɕhe-tɕ ʐguə i-ɸi-ji,humankind want-GEN grain DIR-plant-CSM,and planted the grain needed by humankind.,2,8,4
58,kɑpətʂ kou qe:ʴqe:ʴtu ɦɑlɑ kɑpətʂ kou ŋuəkeitɕu,kɑpətʂ kou qe:ʴ-qe:ʴ-tu ɦɑlɑ kɑpətʂ kou ŋuə-kei-tɕu,orphan INDEF:one:CL before-before-LNK INT orphan INDEF:one:CL COP-NAR-PART,"Long ago, there was an orphan;",3,1,1
59,ep lə meʐi ew lə meʐi ke: ŋuəkəitɕu,ep lə me-ʐi ew lə me-ʐi ke: ŋuə-kəi-tɕu,father also NEG-exist mother also NEG-exist INDEF:CL COP-NAR-PART,he was one who had no father and no mother.,3,1,2
60,tu ɦɑlɑ ʂkuple:ŋuəȵi ɦɑtsu kɑpətʂ tou dzə kɑntɕhikuitɕu,tu ɦɑlɑ ʂkup-le:-ŋuəȵi ɦɑ-tsu kɑpətʂ tou dzə kɑntɕhi-kui-tɕu,RESULT INT orangutan-DEF:CL-TOP EMPH-here orphan DEF:one:CL eat think/want-NAR-PART,There was an orangutan who wanted to eat this orphan.,3,1,3
61,kɑpətʂ lou dzə kɑntɕi:tu,kɑpətʂ lou dzə kɑntɕi:-tu,orphan DEF:one:CL eat think/want-LNK,"He wanted to eat this orphan,",3,1,4
62,ɦɑlɑ,ɦɑlɑ,INT,really.,3,1,5
63,kɑpətʂ tou gəstɑ ɦɑxtʂəpɑ:jətu qukəpəkəiʂ,kɑpətʂ tou gəs-tɑ ɦɑ-xtʂə-pɑ:-jə-tu qu-kəpə-kəi-ʂ,orphan DEF:one:CL night-LOC DIR-get.dark-become:PRS-REP-LNK be.afraid-HABIT-NAR-LNK,"The orphan was always afraid when it got dark at night,",3,1,6
64,tɕəulɑ kə ʁzaʁɑ,tɕəu-lɑ kə ʁza-ʁɑ,home-LOC go when-LOC,"and on his way home,",3,1,7
65,zei ɦezeiȵi kəkəpəkəitɕu,zei ɦe-zei-ȵi kə-kəpə-kəi-tɕu,cry DIR-cry-ADVZ go-HABIT-NAR-PART,he was crying and crying as he walked.,3,1,8
66,tu ɦɑlɑ dɑqɑ dɑqɑtu gue:ʴtɑ ɦɑqɑ,tu ɦɑlɑ dɑ-qɑ dɑ-qɑ-tu gue:ʴ-tɑ ɦɑ-qɑ,RESULT INT DIR-go DIR-go-LNK road-LOC DIR-go,He walked a while,3,1,9
67,χale:ȵɑ etʂepekəitɕu,χa-le:-ȵɑ e-tʂepe-kəi-tɕu,needle-DEF:CL-and DIR-encounter-NAR-PART,and met with a needle.,3,1,10
68,χale:wu təkeʴlkuitɕu,χa-le:-wu tə-keʴl-kui-tɕu,needle-DEF:CL-ABL DIR-ask-NAR-PART,"The needle asked him,",3,2,1
69,ha,ha,EXCL,"“Hey,",3,2,2
70,ȵipewɑ ȵipewɑ,ȵi-pe-wɑ ȵi-pe-wɑ,WH-become-Q WH-become-Q,"What's the matter?”,",3,2,3
71,jətu,jə-tu,say-LNK,she said.,3,2,4
72,ɦɑ kɑpətʂ tou hɑsəkəiʂə,ɦɑ kɑpətʂ tou hɑ-sə-kəi-ʂə,EMPH orphan DEF:one:CL DIR-make.sound-NAR-LNK,"The orphan answered,",3,3,1
73,hi,hi,EXCL,“Aye!,3,3,2
74,ʂkupte:wu maha qɑ dzə lɑ:,ʂkup-te:-wu maha qɑ dzə lɑ:,orangutan-DEF:CL-ABL evening 1SG eat come:PRS,"The orangutan is going to come eat me at night.”,",3,4,1
75,jəʂə,jə-ʂə,say-LNK,he said.,3,4,2
76,qɑ tɕəulɑ ozůȵi qɑ oustu je quɑwɑ,qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,1SG home-LOC DIR-sit-ADVZ 1SG one:CL-alone live/stay be.afraid-1SG-EMPH,"“I'm afraid to be at home by myself.”,",3,4,3
77,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,he said.,3,4,4
78,tu χale:ŋuəȵi,tu χa-le:-ŋuəȵi,RESULT needle-DEF:CL-TOP,"The needle said,",3,5,1
79,ha qu metɕhiwɑ,ha qu me-tɕhi-wɑ,EXCL be.afraid NEG-want-DTV,“Hah! Don't be afraid.,3,5,2
80,mahaȵiŋuəȵi qɑ ʔũgul zuluɑ:wɑ,maha-ȵi-ŋuəȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,evening-ADVZ-TOP 1SG 2SG-companion DIR-come-1SG:PRS-EMPH,"At night I'll come be your companion.”,",3,5,3
81,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,she said.,3,5,4
82,tu ɦala ɦezei,tu ɦala ɦe-zei,RESULT INT DIR-cry,"Later, again he was crying, crying as he walked.",3,6,1
83,ɦezeiȵi dɑqəkəi,ɦe-zei-ȵi dɑ-qə-kəi,DIR-cry-ADVZ DIR-go-NAR,He walked a while,3,6,2
84,dɑqəkəitu,dɑ-qə-kəi-tu,DIR-go-NAR-LNK,and met some scissors.,3,6,3
85,ɦɑlɑ qusɑpte:ȵɑ etʂepekəitɕu,ɦɑlɑ qusɑp-te:-ȵɑ e-tʂepe-kəi-tɕu,INT scissors-DEF:CL-and DIR-encounter-NAR-PART,"The scissors asked him, “Ah, What's the matter with you?",3,6,4
86,qusɑpte:wu a: ʔũ ȵiɣipewɑ,qusɑp-te:-wu a: ʔũ ȵiɣi-pe-wɑ,scissors-DEF:CL-ABL EXCL 2SG what-become-Q,"Why are you crying like this?”,",3,6,5
87,ȵiχuɑȵi kəzeinwɑ,ȵi-χuɑ-ȵi kə-zei-n-wɑ,WH-because-ADVZ thus-cry-2SG-Q,they said.,3,7,1
88,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,"The orphan said,",3,8,1
89,ɦɑ qɑ tɕəulɑ outɕi meʐawɑ,ɦɑ qɑ tɕəu-lɑ ou-tɕi me-ʐa-wɑ,EMPH 1SG home-LOC one:CL-EXC NEG-exist:1SG-EMPH,"“At my home, there's only me alone.",3,9,1
90,ʂkupte: qɑ dzɑ:,ʂkup-te: qɑ dzɑ:,orangutan-DEF:CL 1SG eat:PRS,"The orangutan is going to come down to eat me.”,",3,9,2
91,jəkəpəʂə,jə-kəpə-ʂə,say-HABIT-LNK,he said.,3,9,3
92,mahaȵi ɦolukəpəwɑ,maha-ȵi ɦo-lu-kəpə-wɑ,evening-ADVZ DIR-come-HABIT-EMPH,"“He comes at night.”,",3,9,4
93,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,he said.,3,9,5
94,a: ke:jə mɑŋ̥u̥əta ʐə mew,,,"“Ah, if that is all it is, no problem,",3,10,1
95,maha qɑ ʔũ gul zuluɑ:wɑ,,,"at night I'll come be your companion.”,",3,10,2
96,jəkuitɕu,,,the scissors said.,3,10,3
97,ʔũgul zuluɑ:wɑ,,,"“I'll come be your friend”,",3,10,4
98,jəkuitu,jə-kui-tu,say-NAR-LNK,the scissors said.,3,10,5
99,ɦɑthewu χaiʂə ɦezei ɦezeiȵi dɑqəjə ɦezei ɦezeiȵi dɑqəjəkəitu,ɦɑ-the-wu χaiʂə ɦe-zei ɦe-zei-ȵi dɑ-qə-jə ɦe-zei ɦe-zei-ȵi dɑ-qə-jə-kəi-tu,EMPH-that-ABL †(still.is) DIR-cry DIR-cry-ADVZ DIR-go-REP DIR-cry DIR-cry-ADVZ DIR-go-REP-NAR-LNK,"After that, the orphan still was crying and crying as he walked.",3,11,1
100,χaiʂə xsə ɕtɕiɕtɕɑq touȵɑ etʂepekəjəkeitɕu,χaiʂə xsə ɕtɕiɕtɕɑq tou-ȵɑ e-tʂepe-kə-jə-kei-tɕu,†(still.is) new magpie DEF:one:CL-and DIR-encounter-go-REP-NAR-PART,He walked a while and met a magpie.,3,11,2
101,ɕtɕiɕtɕɑq touȵɑ etʂepekəitu,ɕtɕiɕtɕɑq tou-ȵɑ e-tʂepe-kəi-tu,magpie DEF:one:CL-and DIR-encounter-NAR-LNK,"The magpie he met asked him,",3,11,3
102,a: ʔũ ȵiχuɑȵi kəzeinwɑ,a: ʔũ ȵi-χuɑ-ȵi kə-zei-n-wɑ,EXCL 2SG WH-because-ADVZ thus-cry-2SG-Q,"“Why are you crying like this?”,",3,11,4
103,jəkui,jə-kui,say-NAR,she said.,3,12,1
104,qɑŋuəȵi tɕəulɑ oujə meʐawɑ,qɑ-ŋuəȵi tɕəu-lɑ ou-jə me-ʐa-wɑ,1SG-TOP home-LOC one:CL-EXC NEG-exist:1SG-EMPH,"“At home, there's only me alone.",3,13,1
105,tɑtə lə meʐi,tɑtə lə me-ʐi,father also NEG-exist,I have neither father,3,13,2
106,mɑ lə meʐi,mɑ lə me-ʐi,mother also NEG-exist,nor mother.,3,13,3
107,epew meʐi ɦɑkou ŋuɑʂə,ep-ew me-ʐi ɦɑ-kou ŋuɑ-ʂə,father-mother NEG-exist EMPH-INDEF:one:CL COP:1SG-LNK,I am one without parents.,3,13,4
108,tɕəulɑ ɦɑxtʂəpȵike,tɕəu-lɑ ɦɑ-xtʂəp-ȵike,home-LOC DIR-get.dark-after,"When it gets dark,",3,13,5
109,ʂkuple:wu qɑ dzɑ:,ʂkup-le:-wu qɑ dzɑ:,orangutan-DEF:CL-ABL 1SG eat:PRS,"the orangutan is going to eat me.”,",3,13,6
110,jəkəpəʂə,jə-kəpə-ʂə,say-HABIT-LNK,the orphan said.,3,13,7
111,qɑ tɕəulɑ je quɑwɑ,qɑ tɕəu-lɑ je qu-ɑ-wɑ,1SG home-LOC live/stay be.afraid-1SG-EMPH,"“I'm afraid to be at home alone.”,",3,13,8
112,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,he said.,3,13,9
113,hi,hi,EXCL,“Aye!,3,14,1
114,qu metɕhiwɑ,qu me-tɕhi-wɑ,be.afraid NEG-want-EMPH,You need not be afraid.,3,15,1
115,mahaȵi qɑ ʔũgul zuluɑ:wɑ,maha-ȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,evening-ADVZ 1SG 2SG-companion DIR-come-1SG:PRS-EMPH,"At night I'll come be your companion.”,",3,15,2
116,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,the magpie said.,3,15,3
117,xsə dɑqə dɑqəjəkəi,xsə dɑ-qə dɑ-qə-jə-kəi,new DIR-go DIR-go-REP-NAR,"Again he went on,",3,16,1
118,dɑqɑ dɑqəjəkəitu,dɑ-qɑ dɑ-qə-jə-kəi-tu,DIR-go DIR-go-REP-NAR-LNK,and after walking a while,3,16,2
119,ɦɑlɑ noʁule:ȵɑ etʂepekəitɕu,ɦɑlɑ noʁu-le:-ȵɑ e-tʂepe-kəi-tɕu,INT crow-DEF:CL-and DIR-encounter-NAR-PART,"he met a crow,",3,16,3
120,noʁule:ȵɑ etʂepekəitu,noʁu-le:-ȵɑ e-tʂepe-kəi-tu,crow-DEF:CL-and DIR-encounter-NAR-LNK,"and the crow he met said,",3,16,4
121,ha,ha,EXCL,“Hah!,3,16,5
122,ʔũ ȵiχuɑȵi kəzeinwɑ,ʔũ ȵi-χuɑ-ȵi kə-zei-n-wɑ,2SG WH-because-ADVZ thus-cry-2SG-Q,"Why are you crying?”,",3,17,1
123,jəkui,jə-kui,say-NAR,she aid.,3,18,1
124,tu χaiʂə qɑ ɦɑlɑ ep lə meʐi ew lə meʐi,tu χaiʂə qɑ ɦɑlɑ ep lə me-ʐi ew lə me-ʐi,RESULT †(still.is) 1SG INT father also NEG-exist mother also NEG-exist,“I have neither father nor mother.,3,19,1
125,kɑpətʂ koujə mɑŋuɑʂə,kɑpətʂ kou-jə mɑ-ŋuɑ-ʂə,orphan DEF:one:CL-EXC NEG-COP:1SG-LNK,I'm only an orphan.,3,19,2
126,tu ɦɑlɑ gəstɑŋuəȵi je quɑwɑ,tu ɦɑlɑ gəs-tɑ-ŋuəȵi je qu-ɑ-wɑ,RESULT INT night-LOC-TOP live/stay be.afraid-1SG-EMPH,At night I am afraid (to be at home alone);,3,19,3
127,ʂkuple:ŋuəȵi qɑ dzɑ:wɑ,ʂkup-le:-ŋuəȵi qɑ dzɑ:-wɑ,orangutan-DEF:CL-TOP 1SG eat:PRS-EMPH,"the orangutan is going to eat me.”,",3,19,4
128,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,the orphan said.,3,19,5
129,ha,ha,EXCL,“Hah!,3,20,1
130,ta ke: ŋuəta,ta ke: ŋuə-ta,if INDEF:CL COP-if,"If that's the case,",3,20,2
131,ʐə mew,ʐə me-w,matter NEG-exist,"there's no problem,",3,20,3
132,qɑŋuəȵi maha zulůȵi,qɑ-ŋuəȵi maha zu-lů-ȵi,1SG-TOP evening DIR-come-ADVZ,at night I'll come,3,20,4
133,ʔũgul ijelɑwɑ,ʔũ-gul i-je-lɑ-wɑ,2SG-companion DIR-live/stay-INDTV:1SG-EMPH,"be your companion.”,",3,20,5
134,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,the crow said.,3,20,6
135,xsə dɑqɑ dɑqəjəkəi,xsə dɑ-qɑ dɑ-qə-jə-kəi,new DIR-go DIR-go-REP-NAR,"Again, the orphan went on.",3,21,1
136,ɦɑ dɑqəkəitu,ɦɑ dɑ-qə-kəi-tu,EMPH DIR-go-NAR-LNK,He walked a while,3,21,2
137,χsutsqhɑle:ȵɑ etʂepekəi,χsutsqhɑ-le:-ȵɑ e-tʂepe-kəi,stomach-DEF:CL-and DIR-encounter-NAR,"and came across a stomach,",3,21,3
138,χsutsqhɑle:ȵɑ etʂepekəitu,χsutsqhɑ-le:-ȵɑ e-tʂepe-kəi-tu,stomach-DEF:CL-and DIR-encounter-NAR-LNK,he came across a stomach.,3,21,4
139,χsutsqhɑle:wu təkeʴlkui,χsutsqhɑ-le:-wu tə-keʴl-kui,stomach-DEF:CL-ABL DIR-ask-NAR,"And the stomach asked him,",3,21,5
140,ha,ha,EXCL,“Hah!,3,21,6
141,ʔũ ȵiχuɑȵi kəzeinwɑ,ʔũ ȵi-χuɑ-ȵi kə-zei-n-wɑ,2SG WH-because-ADVZ thus-cry-2SG-Q,"Why are you crying like this?”,",3,22,1
142,jəkui,jə-kui,say-NAR,"he said,",3,23,1
143,ȵiχuɑȵi kəzeinwɑ,ȵi-χuɑ-ȵi kə-zei-n-wɑ,WH-because-ADVZ thus-cry-2SG-Q,"Why are you crying like this?”,",3,23,2
144,jəkuitu,jə-kui-tu,say-NAR-LNK,he said.,3,24,1
145,kɑpətʂ tou heʐguekəi,kɑpətʂ tou he-ʐgue-kəi,orphan DEF:one:CL DIR-answer-NAR,"The orphan answered,",3,25,1
146,qɑŋuəȵi ep lə meʐəji ew lə meʐəji,qɑ-ŋuəȵi ep lə me-ʐə-ji ew lə me-ʐə-ji,1SG-TOP father also NEG-exist-CSM mother also NEG-exist-CSM,“I have neither father nor mother.,3,25,2
147,gəsȵi ɦɑxtʂəpȵiɑufu ʂkuple: qɑ dzəlɑ:,gəs-ȵi ɦɑ-xtʂəp-ȵiɑufu ʂkup-le: qɑ dzə-lɑ:,night-ADVZ DIR-get.dark-as.soon.as orangutan-DEF:CL 1SG eat-come:PRS,"At night, as soon as it gets dark, the orangutan is going to come eat me.”,",3,25,3
148,jəkəpəʂə,jə-kəpə-ʂə,say-HABIT-LNK,he said.,3,25,4
149,qɑ quɑwɑ,qɑ qu-ɑ-wɑ,1SG be.afraid-1SG-EMPH,"“I'm afraid.”,",3,25,5
150,jəkui,jə-kui,say-NAR,he said.,3,25,6
151,ha,ha,EXCL,“Hah!,3,26,1
152,ke:ji mɑŋ̥u̥əta,ke:-ji mɑ-ŋ̥u̥ə-ta,INDEF:CL-EXC NEG-COP-if,"If that's all it is,",3,27,1
153,ʐə mewwɑ,ʐə me-w-wɑ,matter NEG-exist-EMPH,"there's no problem,",3,27,2
154,qɑŋuəȵi ʔũgul hɑŋ̥u̥əlɑwɑ,qɑ-ŋuəȵi ʔũ-gul hɑ-ŋ̥u̥ə-lɑ-wɑ,1SG-TOP 2SG-companion DIR-COP-INDTV:1SG-EMPH,let me come be your companion at night.,3,27,3
155,mahaŋuəȵi qɑ ʔũgul zuluɑ:wɑ,maha-ŋuəȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,evening-TOP 1SG 2SG-companion DIR-come-1SG:PRS-EMPH,"I'll come be your companion.”,",3,27,4
156,jəkui,jə-kui,say-NAR,said the stomach.,3,27,5
157,ɦɑtsɑtɑu ŋuətu,ɦɑ-tsɑ-tɑu ŋuə-tu,EMPH-this:one-time COP-LNK,"The orphan still was crying,",3,28,1
158,ɦɑlɑ ɦezei ɦezeiȵi dɑqəjəkəi,ɦɑlɑ ɦe-zei ɦe-zei-ȵi dɑ-qə-jə-kəi,INT DIR-cry DIR-cry-ADVZ DIR-go-REP-NAR,crying as he walked.,3,28,2
159,dɑqɑ dɑqɑtu ɦɑlɑ thəlle:ȵɑ etʂepekəistu,dɑ-qɑ dɑ-qɑ-tu ɦɑlɑ thəl-le:-ȵɑ e-tʂepe-kəi-stu,DIR-go DIR-go-LNK INT stone.pestle-DEF:CL-and DIR-encounter-NAR-PART,"He walked a while and also came across a stone mortar,",3,28,3
160,thəlle:ȵɑ etʂepekəitu,thəl-le:-ȵɑ e-tʂepe-kəi-tu,stone.pestle-DEF:CL-and DIR-encounter-NAR-LNK,he came across a stone mortar.,3,28,4
161,ha,ha,EXCL,“Hah!,3,28,5
162,ʔũ ȵiχuɑȵi kəzeinwɑ,ʔũ ȵi-χuɑ-ȵi kə-zei-n-wɑ,2SG WH-because-ADVZ thus-cry-2SG-Q,"Why are you crying like this?”,",3,29,1
163,jəkui,jə-kui,say-NAR,"said the stone mortar,",3,30,1
164,təkeʴlkui,tə-keʴl-kui,DIR-ask-NAR,asked him.,3,30,2
165,ɦa,ɦa,EXCL,"“Ah,",3,31,1
